pkg,func,data,org,pub,nCells,desc
TENxPBMCData,TENxPBMCData,pbmc68k,human,Hansen 2020,68000,PBMC
TENxPBMCData,TENxPBMCData,frozen_pbmc_donor_a,human,Hansen 2020,2900,PBMC
TENxPBMCData,TENxPBMCData,frozen_pbmc_donor_b,human,Hansen 2020,7800,PBMC
TENxPBMCData,TENxPBMCData,frozen_pbmc_donor_c,human,Hansen 2020,9500,PBMC
TENxPBMCData,TENxPBMCData,pbmc33k,human,Hansen 2020,3300,PBMC
TENxPBMCData,TENxPBMCData,pbmc3k,human,Hansen 2020,3000,PBMC
TENxPBMCData,TENxPBMCData,pbmc6k,human,Hansen 2020,6000,PBMC
TENxPBMCData,TENxPBMCData,pbmc4k,human,Hansen 2020,4000,PBMC
TENxPBMCData,TENxPBMCData,pbmc8k,human,Hansen 2020,8000,PBMC
scRNAseq,BachMammaryData,NA,mouse,Bach 2017,25806,Mouse mammary gland
scRNAseq,BaronPancreasData,human,human,Baron 2016,8569,Human pancreas
scRNAseq,BaronPancreasData,mouse,mouse,Baron 2016,1886,Mouse pancreas
scRNAseq,BuettnerESCData,NA,mouse,Buettner 2015,288,Mouse embryonic stem cells
scRNAseq,CampbellBrainData,NA,mouse,Campbell 2017,21086,Mouse brain
scRNAseq,ChenBrainData,NA,mouse,Chen 2017,14437,Mouse brain
scRNAseq,GrunHSCData,NA,mouse,Grun 2016,1915,Mouse Haematopoietic stem cells
scRNAseq,KolodziejczykESCData,NA,mouse,Kolodziejczyk 2015,704,Mouse embryonic stem cells
scRNAseq,LaMannoBrainData,human-es,human,LaManno 2016,1715,Human embryonic stem cells
scRNAseq,LaMannoBrainData,human-embryo,human,LaManno 2016,1977,Human embryonic midbrain
scRNAseq,LaMannoBrainData,human-ips,human,LaManno 2016,337,Human induced pluripotent stem cells
scRNAseq,LaMannoBrainData,mouse-adult,mouse,LaManno 2016,243,Mouse adult dopaminergic neurons
scRNAseq,LaMannoBrainData,mouse-embryo,mouse,LaManno 2016,1907,Mouse embryonic midbrain
scRNAseq,LawlorPancreasData,NA,human,Lawlor 2017,638,Human pancreas
scRNAseq,LengESCData,NA,human,Leng 2015,460,Human embryonic stem cells
scRNAseq,LunSpikeInData,416b,mouse,Lun 2017,192,416B cells
scRNAseq,LunSpikeInData,tropho,mouse,Lun 2017,192,Mouse trophoblasts
scRNAseq,MacoskoRetinaData,NA,mouse,Macosko 2015,49300,Mouse retina
scRNAseq,MarquesBrainData,NA,mouse,Marques 2016,5069,Mouse brain
scRNAseq,MessmerESCData,NA,human,Messmer 2019,1344,Human embryonic stem cells
scRNAseq,MuraroPancreasData,NA,human,Muraro 2016,3072,Human pancreas
scRNAseq,NestorowaHSCData,NA,mouse,Nestorowa 2016,1920,Mouse haematopoietic stem cells
scRNAseq,PaulHSCData,NA,mouse,Paul 2015,10368,Mouse haematopoietic stem cells
scRNAseq,RichardTCellData,NA,mouse,Richard 2018,572,Mouse CD8+ T cells
scRNAseq,RomanovBrainData,NA,mouse,Romanov 2017,2881,Mouse brain
scRNAseq,SegerstolpePancreasData,NA,human,Segerstolpe 2016,3514,Human pancreas
scRNAseq,ShekharRetinaData,NA,mouse,Shekhar 2016,44994,Mouse retina
scRNAseq,UsoskinBrainData,NA,mouse,Usoskin 2015,864,Mouse brain
scRNAseq,TasicBrainData,NA,mouse,Tasic 2016,1809,Mouse brain
scRNAseq,XinPancreasData,NA,human,Xin 2016,1600,Human pancreas
scRNAseq,ZeiselBrainData,NA,mouse,Zeisel 2015,3005,Mouse brain
MouseGastrulationData,EmbryoAtlasData,NA,mouse,Griffiths 2019,29452,Mouse gastrulation/organogenesis
MouseGastrulationData,GuibentifExtraData,NA,mouse,Griffiths 2019,29452,Mouse gastrulation/organogenesis
MouseGastrulationData,Tal1ChimeraData,NA,mouse,Griffiths 2019,29452,Mouse gastrulation/organogenesis
MouseGastrulationData,TChimeraData,NA,mouse,Griffiths 2019,29452,Mouse gastrulation/organogenesis
MouseGastrulationData,WTChimeraData,NA,mouse,Griffiths 2019,29452,Mouse gastrulation/organogenesis
TabulaMurisData,TabulaMurisDroplet,NA,mouse,Soneson 2020,23341,10x and SmartSeq2 scRNA-seq
scRNAseq,ZilionisLungData,human,human,Zilionis 2019,173954,lung cancer
scRNAseq,ZilionisLungData,mouse,mouse,Zilionis 2019,17549,lung cancer
scRNAseq,HermannSpermatogenesisData,NA,mouse,Hermann 2018,2325,spermatogenic cells
scRNAseq,MairPBMCData,NA,human,Mair 2020,29033,PBMC
scRNAseq,KotliarovPBMCData,NA,human,Kotliarov 2020,58654,PBMC
scRNAseq,WuKidneyData,NA,mouse,Wu 2019,17542,kidney
scRNAseq,HuCortexData,NA,mouse,Hu 2017,48000,cortex
